id,nombre
686,"Francisco Ayala 37"
687,"Emperador Carlos V"
688,"San Juan de Dios 12"
689,"San Juan de Dios 36"
690,"Avda. America 36"
691,"Pianista Pepita Bustamante 2"
692,"Pianista Pepita Bustamante 14"
693,"Profesor Albareda 10"
694,"Pintor Fernando Belda"
695,"CALLE IZNALLOZ"
696,"LAS DEHESAS 2"
697,"LAS DEHESAS 1"
698,"Avda. Maracena 107"
699,"GUSTAVO DORE 2"
700,"A. GALLEGO MORELL 1"
701,"A. GALLEGO MORELL 2"
702,"A. GALLEGO MORELL 3"
703,"Cno. Real de los Neveros"
704,"Avda. Maracena Fte. CETIC"
705,"Ctra. de la Sierra"
706,"Ctra. de la Sierra"
707,"Ctra. de la Sierra"
708,"Alcalde Diaz Berbel"
709,"Avda. Federico Garcia Lorca"
710,"Ctra. de la Sierra"
711,"Avda. del Conocimiento"
712,"Avda. del Conocimiento"
713,"Conde de Torrepalma"
714,"Henriquez de Jorquera Fte. 10"
715,"Torre Juan de Arce"
1001,"Plaza Nueva"
1002,"Cuesta Gomerez 1 I"
1003,"Auditorio Manuel de Falla"
1004,"Paseo del Generalife 4"
1005,"Alhambra"
1006,"Palacio Emperador Carlos V"
1007,"Puerta de la Justicia"
1008,"Cuesta Gomerez"
1009,"Plaza Nueva"
1010,"Carrera del Darro 33-Bañuelo"
1011,"Paseo del Padre Manjón"
1012,"Cuesta del Chapiz"
1013,"Cno. del Sacromonte 39"
1014,"Cno. del Sacromonte 89"
1015,"Cno. del Sacromonte 109"
1016,"Sacromonte"
1017,"Cno. del Sacromonte Fte 109"
1018,"Cno. del Sacromonte Fte 89"
1019,"Cno. del Sacromonte Fte 39"
1020,"Placeta del Abad"
1021,"Callejón de las Tomasas 19"
1022,"Plaza San Nicolás"
1023,"Santa Isabel la Real"
1024,"San Miguel Bajo"
1025,"Carril de la Lona 1"
1026,"Arco de Elvira 4"
1031,"Cno. Nuevo del Cementerio 12"
1032,"Cno. Nuevo del Cementerio 19"
1033,"Cno. Nuevo del Cementerio 57"
1035,"Paseo de la Sabica 38"
1036,"Sacromonte"
1037,"Santo Sepulcro del Sacromonte 5"
1039,"Cno. Nuevo del Cementerio 59"
1040,"Parkinq Generalife 1"
1046,"Sacromonte"
1047,"Paseo del Padre Manjón"
1048,"Cno. Nuevo de San Nicolás 7"
1049,"Calle profesor Emilio Orozco I"
1050,"Cno. Beas 25"
1051,"Cno. Beas Fte 27"
1052,"Cno. Beas 28"
1053,"Cno. Beas 46"
1054,"Cno. del Sacromonte 1- Peso de la Harina"
1055,"Cno. Beas Fte 28"
1056,"Cno. Beas 27"
1057,"Cno. Beas"
1058,"Torre de la Polvora 1 V"
1059,"Torre de la Polvora"
1060,"Torre de la Polvora 1 I"
1061,"Salvador Allende V"
1062,"Salvador Allende 7"
1063,"Emperador Carlos V 9"
1064,"Emperador Carlos V 16"
1065,"Jardín de la Reina"
1066,"Arabial 58"
1067,"Arabial 90-Centro Comercial"
1068,"Arabial 102"
1069,"Arabial 130"
1070,"Julio Verne I"
1071,"Cno. Conejeras 20"
1072,"Paseo Laguna Cameros 16 -Centro Comercial"
1073,"Cno. Bajo de Huétor 49"
1074,"Pedro Temboury 24"
1075,"Alixares Generalife I"
1104,"Cabecera linea 31 Y 35"
1105,"Plaza Nueva"
1106,"Avda. del Hospicio"
1107,"Av. Federico Gª Lorca 4"
1108,"Juan Pablo II 96"
1109,"Juan Pablo II"
1110,"Juan Pablo II"
1111,"Juan Pablo II"
1112,"Juan Pablo II Fte 57"
1113,"Paseo de Europa"
1114,"Palencia 25"
1115,"Avda. Federico García Lorca 10"
1116,"Avda. Federico García Lorca 24"
1117,"Avda. Federico García Lorca 27"
1119,"Avda. Federico García Lorca 15"
1120,"Avda. Federico García Lorca 9"
1121,"Avda. Federico García Lorca 5"
1122,"Mecina Bombarón"
1123,"Santo Tomás de Villanueva 19"
1124,"Cañaveral 30"
1125,"Albondón 4"
1126,"Albondón 14"
1127,"Cabecera Línea 25"
1136,"Carril de los Coches"
1137,"Carril de los Coches 4"
1200,"Virgen de la Consolación 19"
1201,"Calle Virgen de la Consolación 1 V"
1202,"Ferial"
1203,"Ayuntamiento"
1204,"Calle Granada 1"
1205,"Calle Granada 2"
1206,"Calle Granada 3"
1207,"Calle Granada Nº 48 (Rotonda)"
1208,"Avenida de Andalucia 1"
1209,"Avenida de Andalucia 2"
1210,"Carretera de Armilla 1"
1211,"Carretera de Armilla 2"
1212,"Carretera de Armilla 3"
1213,"Poligono Tegnologico Ogijares"
1214,"Camino de los tramposos 1"
1215,"Cuesta del Caidero 10"
